state,specialty,ndb_spec,credentialing_required
IL,Addiction Medicine,347,No2
IL,Addiction Psychiatry,301,No2
IL,Adolescent Medicine,276,Yes
IL,Allergy,252,Yes (as Allergy and Immunology)
IL,Allergy and Immunology,3,Yes
IL,Anatomic & Clinical Pathology,203,No1 (Except MO)
IL,Anatomic Pathology,202,No1 (Except MO)
IL,Anesthesiology,5,No1 (Except MO)
IL,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopedic Surgery)
IL,Blood Banking/Transfusion Medicine,334,No
IL,Bone Marrow Transplant,366,Yes
IL,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
IL,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
IL,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
IL,Cardiology,12,Yes (as Cardiovascular Disease)
IL,Cardiovascular Disease,6,Yes
IL,Cardiovascular Surgery,500,Yes
IL,Chemical Pathology,207,No1 (Except MO)
IL,Chest and Respiratory Therapy,75,Yes
IL,Child & Adolescent Psychiatry,257,No2
IL,Child Neurology,208,Yes
IL,Child Psychology,268,No2
IL,Clinical Biochemical Genetics,305,Yes
IL,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
IL,Clinical Cardiac Electrophysiology,304,Yes
IL,Clinical Cytogenetics,307,Yes
IL,Clinical Genetics,308,Yes
IL,Clinical Molecular Genetics,370,Yes
IL,Clinical Neurophysiology,310,Yes
IL,Clinical Pathology,210,No1 (Except MO)
IL,Clinical Pharmacology,211,No
IL,Colon and Rectal Surgery,15,Yes
IL,Counselor - MH/SA/School,377,No2
IL,Crisis Diversion,378,No2
IL,Critical Care Medicine,214,Yes
IL,Cytopathology,312,No1 (Except MO)
IL,Dermatology,7,Yes
IL,Dermatopathology,218,Yes
IL,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
IL,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
IL,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
IL,Diagnostic Radiology,220,No1 (Except MO)
IL,Digestive Diseases,509,Yes (as Gastroenterology)
IL,Early Intervention,122,Yes (as Preventative Medicine)
IL,Emergency Medicine,42,No1 (Except MO)
IL,"Endocrinology, Diabetes and Metabolism",17,Yes
IL,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
IL,Family Practice,8,Yes
IL,Family Practice Specialist,275,Yes (as Family Practice)
IL,Forensic Pathology,223,No1 (Except MO)
IL,Forensic Psychiatry,346,No2
IL,Gastroenterology,10,Yes
IL,General Practice,1,Yes
IL,General Practice Specialist,272,Yes (as General Practice)
IL,General Vascular Surgery,95,Yes
IL,Geriatric Medicine,38,Yes
IL,Geriatric Psychiatry,314,No2
IL,Gynecologic Oncology,221,Yes
IL,Gynecology,251,Yes (as Obstetrics And Gynecology)
IL,Hand Surgery,40,Yes
IL,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
IL,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
IL,Hematology,93,Yes
IL,Hematology/Oncology,504,Yes
IL,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
IL,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
IL,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
IL,Hospice & Palliative Medicine,19,Yes
IL,Hospitalist,340,No1 (Except MO)
IL,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
IL,Immunology,283,Yes (as Allergy and Immunology)
IL,Immunopathology,225,No1 (Except MO)
IL,Independent Medical Examiner,97,No
IL,Infectious Disease Medicine,80,Yes
IL,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
IL,Internal Medicine,11,Yes
IL,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
IL,Internal Medicine Specialist,273,Yes (as Internal Medicine)
IL,Interventional Cardiology,342,Yes
IL,Interventional Radiology,124,Yes
IL,Knee Surgery,349,Yes (as Orthopedic Surgery or Surgery)
IL,Laryngology,284,Yes (as Otolaryngology)
IL,Legal Medicine,285,No
IL,Licensed Professional Counselor,381,No2
IL,Marriage & Family Therapy,318,No2
IL,Medical Genetics,309,Yes
IL,Medical Microbiology,227,No
IL,Medical Oncology,59,Yes
IL,Medical Toxicology,333,No
IL,MOHS Surgery,357,Yes
IL,Molecular Genetic Pathology,371,No1 (Except MO)
IL,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
IL,MRI/Magnetic Resonance,511,No1 (Except MO)
IL,Neonatology,87,No1 (Except MO)
IL,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
IL,Nephrology,39,Yes
IL,Neurodevelopmental Disabilities,343,Yes
IL,Neurological Surgery,14,Yes
IL,Neurology,13,Yes
IL,Neurology & Psychiatry,228,No2
IL,Neuromuscular Disease,269,Yes
IL,Neuropathology,229,No1 (Except MO)
IL,Neuroradiology,332,No1 (Except MO)
IL,Nuclear Cardiology,16,Yes
IL,Nuclear Medicine,36,No1 (Except MO)
IL,Nuclear Radiology,286,No1 (Except MO)
IL,Obstetrics,250,Yes (as Obstetrics And Gynecology)
IL,Obstetrics And Gynecology,230,Yes
IL,Occupational Medicine,231,Yes
IL,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
IL,Ophthalmology,18,Yes
IL,Ophthalmology Cornea Surgery,355,Yes
IL,Ophthalmology Retina Surgery,354,Yes
IL,Oral and Maxillofacial Surgery,92,Yes
IL,Oral Pathology,232,Yes
IL,Orofacial Plastic Surgery,233,Yes
IL,Orthopedic Surgery,20,Yes
IL,Osteopathic Manipulative Medicine,330,Yes
IL,Otolaryngology (ENT),4,Yes
IL,Otology,254,Yes (as Otolaryngology)
IL,Pain Management,319,Yes
IL,Pastoral Counselor,388,No
IL,Pathology,22,No1 (Except MO)
IL,Pediatric Allergy Immunology,86,Yes
IL,Pediatric Anesthesiology,116,No1 (Except MO)
IL,Pediatric Behavioral,363,No2
IL,Pediatric Cardiology,85,Yes
IL,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
IL,Pediatric Child Abuse,258,Yes
IL,Pediatric Critical Care Medicine,234,Yes
IL,Pediatric Dermatology,117,Yes
IL,Pediatric Developmental & Behavioral,255,Yes
IL,Pediatric Emergency Medicine,321,Yes
IL,Pediatric Endocrinology,82,Yes
IL,Pediatric Gastroenterology,259,Yes
IL,Pediatric Genetics,260,Yes
IL,Pediatric Hematology Oncology,88,Yes
IL,Pediatric Infectious Disease Medicine,78,Yes
IL,Pediatric Nephrology,31,Yes
IL,Pediatric Neurology,262,Yes
IL,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
IL,Pediatric Ophthalmology,263,Yes
IL,Pediatric Orthopedic Surgery,264,Yes
IL,Pediatric Otolaryngology (ENT),265,Yes
IL,Pediatric Pathology,322,No1 (Except MO)
IL,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
IL,Pediatric Pulmonary Medicine,96,Yes
IL,Pediatric Radiology,288,No1 (Except MO)
IL,Pediatric Rehabilitation Medicine,341,Yes
IL,Pediatric Rheumatology,261,Yes
IL,Pediatric Specialist,274,Yes (as Pediatrics)
IL,Pediatric Speech Pathologist,115,No2
IL,Pediatric Sports Medicine,323,Yes
IL,Pediatric Surgery,114,Yes
IL,Pediatric Urology,267,Yes
IL,Pediatrics,37,Yes
IL,Perinatology (Maternal & Fetal Medicine),226,Yes
IL,Phlebology,396,Yes
IL,Physical Medicine and Rehabilitation / Physiatry,25,Yes
IL,Physician Nutrition Specialist,103,Yes
IL,Plastic Surgery,24,Yes
IL,Plastic Surgery within the Head & Neck,337,Yes
IL,Preventative Medicine Aerospace,41,Yes
IL,Preventive Medicine,281,Yes
IL,Proctology,28,Yes
IL,Psychiatric Nurse Specialist/Practitioner,329,No2
IL,Psychiatric Social Work,9,No2
IL,Psychiatry,26,No2
IL,"Psychology, Clinical (Doctorate Level)",70,No2
IL,Psychosomatic Medicine,291,No2
IL,Public Health,238,Yes
IL,Public Health & General Preventive Medicine,236,Yes
IL,Pulmonary Medicine,29,Yes
IL,Radiation Oncology,32,Yes
IL,Radioisotopic Pathology,240,No1 (Except MO)
IL,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
IL,Radiological Physics,324,Yes (as Radiation Oncology)
IL,Radiology,30,No1 (Except MO)
IL,Rehabilitative Medicine,253,Yes
IL,Reproductive Endocrinology,241,Yes
IL,Rheumatology,90,Yes
IL,Rhinology,292,Yes (as Otolaryngology)
IL,Shoulder Surgery,350,Yes (as Orthopedic Surgery or Surgery)
IL,Sleep Study Medicine,361,Yes
IL,"Social Worker, Licensed Clinical/Medical",63,No2
IL,Spinal Cord Injury Medicine,344,Yes
IL,Sports Medicine,296,Yes
IL,Surgery,2,Yes
IL,Surgical Critical Care,242,Yes
IL,Surgical Oncologist,508,Yes
IL,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
IL,Thoracic Cardiovascular Surgery,33,Yes
IL,Thoracic Surgery,101,Yes
IL,Traumatic Surgery,293,Yes
IL,Undersea and Hyperbaric Medicine,327,Yes
IL,Undersea Medicine,372,Yes
IL,Urgent Care Medicine,328,No1 (Except MO)
IL,Urology,34,Yes
IL,Vascular Intervention Radiology,335,No1 (Except MO)
IN,Acupuncture,201,No2
IN,Addiction Medicine Specialist,331,No2
IN,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
IN,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
IN,Athletic Trainer,121,No
IN,Audiology,205,Yes
IN,Behavioral Analyst,300,No2
IN,Certified Diabetic Educator,27,Yes
IN,Certified Nurse Midwife,69,Yes
IN,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
IN,Child Psychology,268,No2
IN,Chiropractic Medicine,35,No2
IN,Christian Science Practitioner,376,No
IN,Counselor - MH/SA/School,377,No2
IN,Dentist,50,No2
IN,"Dentist, Oral Surgeon",92,Yes
IN,Employee Assistance Program (EAP) Counselor,379,No
IN,Empowerment Coach,118,No
IN,Endodontics,51,No2
IN,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
IN,Genetic Counselor,320,No
IN,Hearing Instrument Specialist,298,No
IN,Home Health  / Private Duty Nurse,243,No
IN,Home Health Aide,67,No
IN,Homemaker,21,No
IN,Homeopathic Medicine,282,No
IN,Lactation Specialist,380,No
IN,Licensed Professional Counselor,381,No2
IN,Licensed Vocational Nurse,382,No
IN,Marriage & Family Therapy,318,No2
IN,Massage Therapy,514,No
IN,Master of Social Work,391,No2
IN,"Naturopathy, Doctor of",384,Yes
IN,Neuropsychology,397,No2
IN,Non-Indep Licensed MH Provider,244,No
IN,Nurse Practitioner,77,Yes
IN,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
IN,"Nurse, Clinical Specialist in Mental Health",385,No2
IN,"Nurse, Licensed Practical",65,No
IN,"Nurse, Registered",64,No
IN,"Nurse, Registered, First Assistant (RNFA)",386,No
IN,Nutritionist (Registered Dietician),89,Yes
IN,Occupational Therapy,61,No2
IN,Optician,109,No
IN,Optometry,76,No2
IN,Orthodontics,52,No2
IN,Pastoral Counselor,388,No
IN,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
IN,Pediatric Nutrition,120,Yes (as Registered Dietician)
IN,Pediatric Occupational Therapy,119,No2
IN,Pedodontics,53,No2
IN,Peridontics,54,No2
IN,Pharmacist,212,No
IN,Physical Therapy,73,No2
IN,Physical Therapy - Hand,368,No2
IN,Physical Therapy - Hand Splinting,369,No2
IN,Physical Therapy - Pediatric,367,No2
IN,Physician Assistant,338,Yes
IN,Podiatry,48,Yes
IN,Prosthodontics,55,No2
IN,Psychiatric Nurse Specialist/Practitioner,329,No2
IN,"Psychology, Clinical (Doctorate Level)",70,No2
IN,"Psychology, Clinical (Masters Level)",70,No2
IN,Registered Nurse Anesthetist,395,No1 (Except MO)
IN,Social Worker (Registered Social Worker),390,No2
IN,"Social Worker, Licensed Clinical/Medical",63,No2
IN,"Social Worker, Marriage & Family",392,No2
IN,Speech Pathology,246,No2
IN,Speech Therapy,74,No2
IN,"Substance Abuse Services, Alcohol & Drug",507,No
IN,Surgical Technician,393,No
IN,Unknown Physician/Doctor of Education,99,No
IN,Visiting Nurse,394,No
IN,Certified Asthma Educator,43,No
IN,Assisted Care Living Facility - Center  (HCBS,,No
IN,Assisted Care Living Facility - Home  (HCBS,,No
IN,Critical Access Hospital,,Yes (as General Acute Hospital)
IN,General Acute Care Hospital,,Yes
IN,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
IN,Hospital Unit - Psychiatry,,No2
IN,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
IN,Indian Health Service Hospital,,No
IN,In-Patient Hospice,,Yes
IN,Physical Disability / Rehabilitation Facility,,Yes
IN,Long Term Acute Care Facility (LTAC),,Yes
IN,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
IN,Military Hospital,,No
IN,Military Treatment Facility / TRICARE USE ONLY,,No
IN,Non Medical In-Patient Facility,,No
IN,Osteopathic Hospital,,Yes
IN,Pediatric Hospital,,Yes
IN,Psychiatric Hospital,,No2
IN,Religious Nonmedical Health Care Institution,,No
IN,"Residential Treatment Facility (Facility, Community/MHDD)",,No
IN,Respite Care Facility,,No
IN,Alcohol/Chemical Dependency Treatment Center,,No
IN,School / Custodial /Developmental Center,,No
IN,Skilled Nursing  Facility (Convalescent Facility),,Yes
IN,Veteran's Administration or other Gov'tal Facility,,No
IN,Pest Control Company (HCBS),,No
IN,Adult Day Care/Social Day Care,,No
IN,Adult Day Health Care,,No
IN,Adult Foster Care (HCBS),,No
IN,Alcohol Treatment Center/Clinic,,No
IN,Ambulance - Freestanding,,No
IN,Ambulance - Hospital Based,,No
IN,Ambulatory Surgery Center/ASC,,Yes
IN,Assitive Technology Supplier  (HCBS),,No
IN,Attendant Care Agency/In Home Supportive Care,,No
IN,Audiology/Hearing Center - DIAGNOSTIC,,No
IN,Audiology/Hearing Center - SURGICAL,,No
IN,Autism ABA Agency/Clinic,,No
IN,Birthing Clinic,,Yes (TRICARE Only)
IN,Blood Bank,,No
IN,Cardiac Diagnostic Center,,No
IN,Cardiac Rehab Center/Clinic,,No
IN,Family Planning Clinic,,No
IN,Community Based Hospice,,Yes
IN,Community/Public Health Clinic,,No
IN,Convenience Care Clinic,,No
IN,Diabetes Education Center,,Yes
IN,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
IN,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
IN,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
IN,Dialysis Center,,Yes
IN,Durable Medical Equipment (Medical Supply Company),,No
IN,Durable Medical Equipment Orthotics/Prosthetics,,No
IN,Environmental Adaptation Company (HCBS),,No
IN,Family Planning Clinic,,No
IN,Federally Qualified Health Center (FQHC),,Yes
IN,Freestanding Emergency Dept,,No
IN,Habilitation Agency (HCBS),,No
IN,Hemophiliac Treatment Center- PHARMACY ONLY,,No
IN,Home Delivered Meals Agency (HCBS),,No
IN,Home Health Care Agency/PACE Provider Agency,,Yes
IN,Home Health/Home Infusion (Combined),,Yes
IN,Homemaker Agency (HCBS),,No
IN,Hyperbaric Oxygen Chamber,,No
IN,Infertility Center,,No
IN,Infirmary,,No
IN,Infusion Therapy - Home & Clinic,,No
IN,Laboratory Center (Independent or Commercial),,Yes
IN,Lithotripsy Centers,,No
IN,Magnetic Resonance Imaging Center/Clinic,,No
IN,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
IN,Non -Emergent Transportation,,No
IN,Personal Care,,No
IN,Pediatric Medical Day Care (HCBS),,No
IN,Pharmacy,,No
IN,Portable Diag Img Supplier,,Yes
IN,Radiation Oncology Center,,No
IN,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
IN,Rural Health Clinic (RHC),,Yes
IN,Sleep Study Center,,No
IN,Surgery Suite/Center,,No
IN,Transition Service Agency (HCBS),,No
IN,Urgent Care Center/Clinic,,No (Yes for AZ Only)
IN,Veteran's Administration Medical Clinic (VAMC),,No
IN,Wellness Service Provider,,No
IN,X-Ray/Radiology Center,,No
IN,Abdominal Surgery,270,Yes (as Surgery)
IN,Addiction Medicine,347,No2
IN,Addiction Psychiatry,301,No2
IN,Adolescent Medicine,276,Yes
IN,Allergy,252,Yes (as Allergy and Immunology)
IN,Allergy and Immunology,3,Yes
IN,Anatomic & Clinical Pathology,203,No1 (Except MO)
IN,Anatomic Pathology,202,No1 (Except MO)
IN,Anesthesiology,5,No1 (Except MO)
IN,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
IN,Blood Banking/Transfusion Medicine,334,No
IN,Bone Marrow Transplant,366,Yes
IN,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
IN,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
IN,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
IN,Cardiology,12,Yes (as Cardiovascular Disease)
IN,Cardiovascular Disease,6,Yes
IN,Cardiovascular Surgery,500,Yes
IN,Chemical Pathology,207,No1 (Except MO)
IN,Chest and Respiratory Therapy,75,Yes
IN,Child & Adolescent Psychiatry,257,No2
IN,Child Neurology,208,Yes
IN,Child Psychology,268,No2
IN,Clinical Biochemical Genetics,305,Yes
IN,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
IN,Clinical Cardiac Electrophysiology,304,Yes
IN,Clinical Cytogenetics,307,Yes
IN,Clinical Genetics,308,Yes
IN,Clinical Molecular Genetics,370,Yes
IN,Clinical Neurophysiology,310,Yes
IN,Clinical Pathology,210,No1 (Except MO)
IN,Clinical Pharmacology,211,No
IN,Colon and Rectal Surgery,15,Yes
IN,Counselor - MH/SA/School,377,No2
IN,Crisis Diversion,378,No2
IN,Critical Care Medicine,214,Yes
IN,Cytopathology,312,No1 (Except MO)
IN,Dermatology,7,Yes
IN,Dermatopathology,218,Yes
IN,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
IN,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
IN,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
IN,Diagnostic Radiology,220,No1 (Except MO)
IN,Digestive Diseases,509,Yes (as Gastroenterology)
IN,Early Intervention,122,Yes (as Preventative Medicine)
IN,Emergency Medicine,42,No1 (Except MO)
IN,"Endocrinology, Diabetes and Metabolism",17,Yes
IN,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
IN,Family Practice,8,Yes
IN,Family Practice Specialist,275,Yes (as Family Practice)
IN,Forensic Pathology,223,No1 (Except MO)
IN,Forensic Psychiatry,346,No2
IN,Gastroenterology,10,Yes
IN,General Practice,1,Yes
IN,General Practice Specialist,272,Yes (as General Practice)
IN,General Vascular Surgery,95,Yes
IN,Geriatric Medicine,38,Yes
IN,Geriatric Psychiatry,314,No2
IN,Gynecologic Oncology,221,Yes
IN,Gynecology,251,Yes (as Obstetrics And Gynecology)
IN,Hand Surgery,40,Yes
IN,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
IN,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
IN,Hematology,93,Yes
IN,Hematology/Oncology,504,Yes
IN,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
IN,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
IN,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
IN,Hospice & Palliative Medicine,19,Yes
IN,Hospitalist,340,No1 (Except MO)
IN,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
IN,Immunology,283,Yes (as Allergy and Immunology)
IN,Immunopathology,225,No1 (Except MO)
IN,Independent Medical Examiner,97,No
IN,Infectious Disease Medicine,80,Yes
IN,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
IN,Internal Medicine,11,Yes
IN,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
IN,Internal Medicine Specialist,273,Yes (as Internal Medicine)
IN,Interventional Cardiology,342,Yes
IN,Interventional Radiology,124,Yes
IN,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
IN,Laryngology,284,Yes (as Otolaryngology)
IN,Legal Medicine,285,No
IN,Licensed Professional Counselor,381,No2
IN,Marriage & Family Therapy,318,No2
IN,Medical Genetics,309,Yes
IN,Medical Microbiology,227,No
IN,Medical Oncology,59,Yes
IN,Medical Toxicology,333,No
IN,MOHS Surgery,357,Yes
IN,Molecular Genetic Pathology,371,No1 (Except MO)
IN,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
IN,MRI/Magnetic Resonance,511,No1 (Except MO)
IN,Neonatology,87,No1 (Except MO)
IN,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
IN,Nephrology,39,Yes
IN,Neurodevelopmental Disabilities,343,Yes
IN,Neurological Surgery,14,Yes
IN,Neurology,13,Yes
IN,Neurology & Psychiatry,228,No2
IN,Neuromuscular Disease,269,Yes
IN,Neuropathology,229,No1 (Except MO)
IN,Neuroradiology,332,No1 (Except MO)
IN,Nuclear Cardiology,16,Yes
IN,Nuclear Medicine,36,No1 (Except MO)
IN,Nuclear Radiology,286,No1 (Except MO)
IN,Obstetrics,250,Yes (as Obstetrics And Gynecology)
IN,Obstetrics And Gynecology,230,Yes
IN,Occupational Medicine,231,Yes
IN,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
IN,Ophthalmology,18,Yes
IN,Ophthalmology Cornea Surgery,355,Yes
IN,Ophthalmology Retina Surgery,354,Yes
IN,Oral and Maxillofacial Surgery,92,Yes
IN,Oral Pathology,232,Yes
IN,Orofacial Plastic Surgery,233,Yes
IN,Orthopedic Surgery,20,Yes
IN,Osteopathic Manipulative Medicine,330,Yes
IN,Otolaryngology (ENT),4,Yes
IN,Otology,254,Yes (as Otolaryngology)
IN,Pain Management,319,Yes
IN,Pastoral Counselor,388,No
IN,Pathology,22,No1 (Except MO)
IN,Pediatric Allergy Immunology,86,Yes
IN,Pediatric Anesthesiology,116,No1 (Except MO)
IN,Pediatric Behavioral,363,No2
IN,Pediatric Cardiology,85,Yes
IN,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
IN,Pediatric Child Abuse,258,Yes
IN,Pediatric Critical Care Medicine,234,Yes
IN,Pediatric Dermatology,117,Yes
IN,Pediatric Developmental & Behavioral,255,Yes
IN,Pediatric Emergency Medicine,321,Yes
